02:41:39.381 INFO   com.company.Main - Запущен интерфейс
02:41:40.550 INFO   com.company.GUI - Программа запущена
02:41:43.996 INFO   com.company.GUI - Начата новая игра
02:41:46.568 INFO   com.company.GUI - Пользователь сделал ставку
02:41:46.577 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:41:46.578 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:41:46.579 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:41:46.579 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:41:46.579 INFO   com.company.GUI - Игрок под номером 6 сделал действие
02:41:47.075 INFO   com.company.GUI - Пользователь сделал ставку
02:41:47.077 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:41:47.077 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:41:47.077 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:41:47.078 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:41:47.078 INFO   com.company.GUI - Игрок под номером 6 сделал действие
02:41:47.534 INFO   com.company.GUI - Пользователь сделал ставку
02:41:47.536 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:41:47.537 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:41:47.537 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:41:47.537 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:41:47.538 INFO   com.company.GUI - Игрок под номером 6 сделал действие
02:41:48.011 INFO   com.company.GUI - Пользователь сделал ставку
02:41:48.012 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:41:48.012 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:41:48.013 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:41:48.013 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:41:48.013 INFO   com.company.GUI - Игрок под номером 6 сделал действие
02:41:48.056 INFO   com.company.GUI - Найден победитель
02:41:52.902 INFO   com.company.GUI - Пользователь сделал ставку
02:41:52.903 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:41:52.904 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:41:52.904 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:41:52.904 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:41:52.904 INFO   com.company.GUI - Игрок под номером 6 сделал действие
02:41:53.280 INFO   com.company.GUI - Пользователь сделал ставку
02:41:53.281 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:41:53.282 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:41:53.282 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:41:53.282 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:41:53.282 INFO   com.company.GUI - Игрок под номером 6 сделал действие
02:41:53.610 INFO   com.company.GUI - Пользователь сделал ставку
02:41:53.611 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:41:53.612 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:41:53.612 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:41:53.612 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:41:53.612 INFO   com.company.GUI - Игрок под номером 6 сделал действие
02:41:54.114 INFO   com.company.GUI - Пользователь сделал ставку
02:41:54.115 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:41:54.115 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:41:54.115 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:41:54.115 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:41:54.115 INFO   com.company.GUI - Игрок под номером 6 сделал действие
02:41:54.176 INFO   com.company.GUI - Найден победитель
02:41:57.499 INFO   com.company.GUI - Пользователь сделал ставку
02:41:57.501 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:41:57.502 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:41:57.502 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:41:57.502 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:41:57.503 INFO   com.company.GUI - Игрок под номером 6 сделал действие
02:41:57.673 INFO   com.company.GUI - Пользователь сделал ставку
02:41:57.674 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:41:57.674 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:41:57.674 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:41:57.674 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:41:57.674 INFO   com.company.GUI - Игрок под номером 6 сделал действие
02:41:57.840 INFO   com.company.GUI - Пользователь сделал ставку
02:41:57.841 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:41:57.841 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:41:57.841 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:41:57.841 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:41:57.842 INFO   com.company.GUI - Игрок под номером 6 сделал действие
02:41:58.022 INFO   com.company.GUI - Пользователь сделал ставку
02:41:58.024 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:41:58.024 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:41:58.025 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:41:58.025 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:41:58.026 INFO   com.company.GUI - Игрок под номером 6 сделал действие
02:41:58.088 INFO   com.company.GUI - Найден победитель
02:42:00.610 INFO   com.company.GUI - Пользователь сделал ставку
02:42:00.611 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:42:00.612 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:42:00.612 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:42:00.612 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:42:00.777 INFO   com.company.GUI - Пользователь сделал ставку
02:42:00.778 INFO   com.company.GUI - Игрок под номером 2 сделал действие
